usajobs_control_number,usajobs_url,position_title,agency,department,min_grade,max_grade,source_year,edu_category,edu_reasoning,edu_key_quote
806611100,https://www.usajobs.gov/job/806611100,ITSPEC (CUSTOMER SUPPORT),Department of the Air Force,Department of the Air Force,GS,GS,2024,no_education,"This posting offers either experience or education for qualification, and the education language is an optional alternative path rather than a strict requirement. Because experience alone qualifies at GS-09 and GS-11, there is no grade where a degree is mandatory.","To qualify, you must possess the EXPERIENCE OR EDUCATION as described below:"
807382700,https://www.usajobs.gov/job/807382700,IT SPECIALIST (INFOSEC),Department of the Navy,Department of the Navy,DS,DS,2024,no_education,"The posting requires specialized experience at the stated grade level and only references the 2210 Alternative A standard, which allows experience or education. No degree is explicitly required.",Additional qualification information can be found from the following Office of Personnel Management website: Information Technology (IT) Management Series 2210 (Alternative A) (opm.gov)
810088100,https://www.usajobs.gov/job/810088100,ITSPEC (CUSTSPT),Department of the Air Force,Department of the Air Force,GS,GS,2024,no_education,"The posting presents education as an optional qualification path for GS-09 and GS-11, but the Qualifications Summary also allows specialized experience or training at both grades. Because experience alone can qualify, there is no grade where a degree is strictly required.","If you are using Education to qualify for this position, *** College transcripts must be submitted only when substituting education for experience."
814836500,https://www.usajobs.gov/job/814836500,SUPERVISORY IT SPECIALIST (PLCYPLN) TITLE 32,Department of the Air Force,Department of the Air Force,GS,GS,2024,no_education,The posting explicitly states that qualification must be met using experience alone and that no education substitution is permitted. The Qualifications Summary also lists only experience requirements for GS-13.,you must meet the qualification requirement using experience alone. No substitution of education for experience is permitted for this occupational series and grade.
817612400,https://www.usajobs.gov/job/817612400,IT SPECIALIST (INFOSEC),Department of the Navy,Department of the Navy,GS,GS,2024,no_education,The qualifications are based on one year of specialized IT experience and reference OPM 2210 Alternative A; there is no statement that a degree is required or that experience alone is insufficient. The education field is empty.,Additional qualification information can be found from the following Office of Personnel Management website: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/2200/information-technology-it-management-series-2210-alternative-a/
827501800,https://www.usajobs.gov/job/827501800,IT SPECIALIST (APPSW),Department of the Navy,Department of the Navy,GS,GS,2025,no_education,"The posting qualifies by specialized experience at the GS-11 level and cites the 2210 Alternative A standard, which allows experience as the qualifying path. There is no degree requirement stated anywhere in the posting.",Your resume must demonstrate at least one year of specialized experience at or equivalent to the GS-11 grade level or pay band in the Federal service or equivalent experience in the private or public sector.
829630200,https://www.usajobs.gov/job/829630200,Information Technology Specialist (Security),Judicial Branch,Judicial Branch,AD,AD,2025,no_education,"The posting explicitly states that education is not required, and the qualifications are based on specialized experience. The listed certifications are only desired, not required.",This position does not require education to qualify.
831098000,https://www.usajobs.gov/job/831098000,SUPERVISORY IT SPECIALIST (NETWORK) (TITLE 32),Department of the Air Force,Department of the Air Force,GS,GS,2025,no_education,The posting describes an optional education path (“If you are using Education to qualify...”) but also provides a clear experience-based qualification path for GS-12. That means a degree is not strictly required because experience alone can qualify.,"If you are using Education to qualify for this position, Ph.D. or equivalent doctoral degree, or 3 full years of progressively higher-level graduate education leading to a Ph.D. or equivalent doctoral degree."
832738900,https://www.usajobs.gov/job/832738900,IT SPECIALIST (INFOSEC),Department of the Navy,Department of the Navy,GS,GS,2025,no_education,The posting qualifies at GS-11 by specialized experience and does not state that a degree is required. The references to OPM Alternative A and the absence of any education mandate indicate experience alone can qualify.,Your resume must also demonstrate at least one year of specialized experience at or equivalent to the GS-11 grade level or pay band in the Federal service or equivalent experience
833974800,https://www.usajobs.gov/job/833974800,Supervisory Information Technology Specialist NF-04,Department of the Army,Department of the Army,NF,NF,2025,no_education,"The posting allows qualification through either education or specialized experience, so a degree is not strictly required. The education language is an optional path and transcript instruction only.",OR possess at least one (1) year of specialized experience in system installation and programming experience sufficient to demonstrate knowledge in the following
836044400,https://www.usajobs.gov/job/836044400,IT SPECIALIST (CUSTSPT),Department of the Navy,Department of the Navy,GS,GS,2025,no_education,"The posting qualifies candidates by specialized experience at the GS-11 level and references the 2210 Alternative A standard, which allows experience-based qualification. There is no statement that a degree is strictly required.",Your resume must also demonstrate at least one year of specialized experience at or equivalent to the GS-11 grade level or pay band in the Federal service or equivalent experience in the private or public sector.
837460800,https://www.usajobs.gov/job/837460800,Information Technology Specialist (Systems Administration),Judicial Branch,Judicial Branch,AD,AD,2025,no_education,"The posting explicitly says there is no education requirement, and the qualifications section relies on specialized experience only. There is no grade level where a degree is strictly required.",This position does not require education to qualify.
837599200,https://www.usajobs.gov/job/837599200,Applications Administrator,Judicial Branch,Judicial Branch,CL,CL,2025,no_education,"The posting requires specialized experience for qualification and only says a master's degree or graduate study may be substituted for that experience; the bachelor’s degree is explicitly preferred, not required. Education can substitute for experience, so there is no mandatory degree requirement.",Education at the masterÃÂ¢s degree level or two years of graduate study may be substituted for required specialized experience if obtained in a field directly related to the subject matter of this position.
